Protein,Adipose tissue / adipocytes,Adrenal gland / glandular cells,Bone marrow / hematopoietic cells,Breast / adipocytes,Breast / glandular cells,Breast / myoepithelial cells,Caudate / glial cells,Caudate / neuronal cells,Cerebral cortex / endothelial cells,Cerebral cortex / glial cells,Cerebral cortex / neuronal cells,Cerebral cortex / neuropil,Colon / endothelial cells,Endometrium 1 / cells in endometrial stroma,Endometrium 1 / glandular cells,Endometrium 2 / cells in endometrial stroma,Endometrium 2 / glandular cells,Epididymis / glandular cells,Esophagus / squamous epithelial cells,Gallbladder / glandular cells,Heart muscle / cardiomyocytes,Hippocampus / glial cells,Hippocampus / neuronal cells,Kidney / cells in glomeruli,Liver / cholangiocytes,Liver / hepatocytes,Lung / macrophages,Lymph node / non-germinal center cells,Oral mucosa / squamous epithelial cells,Ovary / ovarian stroma cells,Pancreas / exocrine glandular cells,Prostate / glandular cells,Salivary gland / glandular cells,Seminal vesicle / glandular cells,Skeletal muscle / myocytes,Skin 1 / melanocytes,Smooth muscle / smooth muscle cells,Soft tissue 2 / fibroblasts,Spleen / cells in red pulp,Spleen / cells in white pulp,Stomach 1 / glandular cells,Stomach 2 / glandular cells,Testis / Leydig cells,Thyroid gland / glandular cells,Tonsil / germinal center cells,Tonsil / non-germinal center cells,Tonsil / squamous epithelial cells,Urinary bladder / urothelial cells,Vagina / squamous epithelial cells
ENSP00000341442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000379654,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,0.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0
ENSP00000347005,0.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0
ENSP00000219066,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0
ENSP00000261636,0.0,3.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0
ENSP00000365757,1.0,3.0,3.0,1.0,1.0,1.0,3.0,0.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
ENSP00000355330,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSP00000369154,0.0,2.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0
ENSP00000421736,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
ENSP00000366797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
