protein_id,group
9606.ENSP00000262965,Antibody
9606.ENSP00000358501,Antibody
9606.ENSP00000480507,Antibody
9606.ENSP00000482241,Antibody
9606.ENSP00000478645,Antibody
9606.ENSP00000372724,Antibody
9606.ENSP00000377447,Antibody
9606.ENSP00000381480,Antibody
9606.ENSP00000266556,Antibody
9606.ENSP00000248948,Antibody
9606.ENSP00000323300,Antibody
9606.ENSP00000403982,Antibody
9606.ENSP00000363773,Antibody
9606.ENSP00000204726,Antibody
9606.ENSP00000334714,Antibody
9606.ENSP00000244096,Antibody
9606.ENSP00000355014,Antibody
9606.ENSP00000251296,Antibody
9606.ENSP00000364016,Antibody
9606.ENSP00000276241,Antibody
9606.ENSP00000481841,Antibody
9606.ENSP00000259951,Antibody
9606.ENSP00000484431,Antibody
9606.ENSP00000316012,Antibody
9606.ENSP00000368458,Antibody
9606.ENSP00000305988,Antibody
9606.ENSP00000495612,Antibody
9606.ENSP00000352172,Antibody
9606.ENSP00000377370,Antibody
9606.ENSP00000313967,Antibody
9606.ENSP00000332602,Antibody
9606.ENSP00000371117,Antibody
9606.ENSP00000381237,Antibody
9606.ENSP00000216037,Antibody
9606.ENSP00000409832,Antibody
9606.ENSP00000361177,Antibody
9606.ENSP00000330862,Antibody
9606.ENSP00000415941,Antibody
9606.ENSP00000396688,Antibody
9606.ENSP00000364978,Antibody
9606.ENSP00000262315,Antibody
9606.ENSP00000247306,Antibody
9606.ENSP00000320324,Antibody
9606.ENSP00000282466,Antibody
9606.ENSP00000368273,Antibody
9606.ENSP00000271064,Antibody
9606.ENSP00000382334,Antibody
9606.ENSP00000390070,Antibody
9606.ENSP00000364985,Antibody
9606.ENSP00000427342,Antibody
9606.ENSP00000466561,Antibody
9606.ENSP00000370588,Antibody
9606.ENSP00000414253,Antibody
9606.ENSP00000411909,Antibody
9606.ENSP00000398890,Antibody
9606.ENSP00000357073,Antibody
9606.ENSP00000258787,Antibody
9606.ENSP00000334644,Antibody
9606.ENSP00000484668,Antibody
9606.ENSP00000263665,Antibody
9606.ENSP00000483811,Antibody
9606.ENSP00000206020,Antibody
9606.ENSP00000497916,Antibody
9606.ENSP00000376786,Antibody
9606.ENSP00000312027,Antibody
9606.ENSP00000314151,Antibody
9606.ENSP00000364752,Antibody
9606.ENSP00000410400,Antibody
9606.ENSP00000284818,Antibody
9606.ENSP00000481184,Antibody
9606.ENSP00000229135,Antibody
9606.ENSP00000268389,Antibody
9606.ENSP00000480637,Antibody
9606.ENSP00000291582,Antibody
9606.ENSP00000289448,Antibody
9606.ENSP00000363330,Antibody
9606.ENSP00000351314,Antibody
9606.ENSP00000312021,Antibody
9606.ENSP00000353401,Antibody
9606.ENSP00000361366,Antibody
9606.ENSP00000332592,Antibody
9606.ENSP00000256447,Antibody
9606.ENSP00000259782,Antibody
9606.ENSP00000355396,Antibody
9606.ENSP00000357123,Antibody
9606.ENSP00000305603,Antibody
9606.ENSP00000396722,Antibody
9606.ENSP00000400908,Antibody
9606.ENSP00000317955,Antibody
9606.ENSP00000357080,Antibody
9606.ENSP00000491969,Antibody
9606.ENSP00000349678,Antibody
9606.ENSP00000301272,Antibody
9606.ENSP00000416249,Antibody
9606.ENSP00000497653,Antibody
9606.ENSP00000496848,Antibody
9606.ENSP00000354660,Antibody
9606.ENSP00000407822,Antibody
9606.ENSP00000332773,Antibody
9606.ENSP00000370886,Antibody
9606.ENSP00000249842,Antibody
9606.ENSP00000364992,Antibody
9606.ENSP00000356842,Antibody
9606.ENSP00000354837,Antibody
9606.ENSP00000355198,Antibody
9606.ENSP00000380903,Antibody
9606.ENSP00000263341,Antibody
9606.ENSP00000361048,Antibody
9606.ENSP00000391488,Antibody
9606.ENSP00000237853,Antibody
9606.ENSP00000310036,Antibody
9606.ENSP00000404432,Antibody
9606.ENSP00000466880,Antibody
9606.ENSP00000475107,Antibody
9606.ENSP00000368304,Antibody
9606.ENSP00000368320,Antibody
9606.ENSP00000470185,Antibody
9606.ENSP00000244336,Antibody
9606.ENSP00000329312,Antibody
9606.ENSP00000370343,Antibody
9606.ENSP00000384214,Antibody
9606.ENSP00000252593,Antibody
9606.ENSP00000371958,Antibody
9606.ENSP00000482678,Antibody
9606.ENSP00000264246,Antibody
9606.ENSP00000354912,Antibody
9606.ENSP00000382871,Antibody
9606.ENSP00000310170,Antibody
9606.ENSP00000369075,Antibody
9606.ENSP00000351602,Antibody
9606.ENSP00000483619,Antibody
9606.ENSP00000274766,Antibody
9606.ENSP00000484601,Antibody
9606.ENSP00000439601,Antibody
9606.ENSP00000363770,Antibody
9606.ENSP00000364847,Antibody
9606.ENSP00000303061,Antibody
9606.ENSP00000388850,Antibody
9606.ENSP00000491865,Antibody
9606.ENSP00000360961,Antibody
9606.ENSP00000371141,Antibody
9606.ENSP00000483585,Antibody
9606.ENSP00000314556,Antibody
9606.ENSP00000369411,Antibody
9606.ENSP00000449386,Antibody
9606.ENSP00000318684,Antibody
9606.ENSP00000318914,Antibody
9606.ENSP00000408204,Antibody
9606.ENSP00000366091,Antibody
9606.ENSP00000384371,Antibody
9606.ENSP00000319476,Antibody
9606.ENSP00000255078,Antibody
9606.ENSP00000491467,Antibody
9606.ENSP00000218068,Antibody
9606.ENSP00000356840,Antibody
9606.ENSP00000424007,Antibody
9606.ENSP00000397103,Antibody
9606.ENSP00000350332,Antibody
9606.ENSP00000387498,Antibody
9606.ENSP00000321445,Antibody
9606.ENSP00000389513,Antibody
9606.ENSP00000483018,Antibody
9606.ENSP00000479608,Antibody
9606.ENSP00000363993,Antibody
9606.ENSP00000398559,Antibody
9606.ENSP00000390613,Antibody
9606.ENSP00000291688,Antibody
9606.ENSP00000373450,Antibody
9606.ENSP00000355421,Antibody
9606.ENSP00000317891,Antibody
9606.ENSP00000308970,Antibody
9606.ENSP00000399711,Antibody
9606.ENSP00000300404,Antibody
9606.ENSP00000221992,Antibody
9606.ENSP00000055077,Antibody
9606.ENSP00000324101,Antibody
9606.ENSP00000395294,Antibody
9606.ENSP00000431254,Antibody
9606.ENSP00000340982,Antibody
9606.ENSP00000402758,Antibody
9606.ENSP00000429344,Antibody
9606.ENSP00000337804,Antibody
9606.ENSP00000368264,Antibody
9606.ENSP00000490139,Antibody
9606.ENSP00000320563,Antibody
9606.ENSP00000366937,Antibody
9606.ENSP00000261503,Antibody
9606.ENSP00000304364,Antibody
9606.ENSP00000305875,Antibody
9606.ENSP00000304903,Antibody
9606.ENSP00000385361,Antibody
9606.ENSP00000379174,Antibody
9606.ENSP00000438293,Antibody
9606.ENSP00000313752,Antibody
